rank,keyword,npscore
890,라이온,10
902,란제리,12
888,마그네사이트,2
875,마요네즈,10
910,마카,4
876,물걸레,12
889,백숙,2
912,버너,10
879,보리밥,6
886,색연필,2
900,샤브샤브,4
899,스티치,10
880,슬랙스,12
884,식혜,4
881,악세사리,9
907,양고기,8
909,온도계,2
891,육포,2
897,자개,4
878,장식품,4
877,재봉틀,2
908,전병,5
904,전복죽,4
882,카드뮴,4
895,캘린더,8
893,타자기,4
901,판지,7
906,편지지,4
898,폴리에스터,10
887,프리즘,8
894,핫팬츠,12
892,화구,10
905,후라이드,12
922,농기구,3
925,라켓,5
934,리코더,11
930,배전반,1
915,보자기,9
916,브러시,11
928,비올라,1
927,새우튀김,11
913,소갈비,7
924,소바,9
921,송편,11
920,수저통,3
932,아코디언,10
935,앰프,1
931,에이드,3
923,잡채,9
917,체중계,11
929,콩국수,11
914,쿨러,5
933,크레파스,1
919,타바코,9
926,타월,1
918,프라이,9
948,기모노,10
952,냉온,6
953,농구공,6
955,떡국,4
937,매직테이프,10
954,무연탄,8
945,밥알,6
942,붕어빵,6
951,블레이저,1
941,빵가루,10
944,생감자,10
943,샹들리에,8
946,셔벗,10
939,스키니,6
956,잎담배,10
947,자동판매기,4
949,파자마,4
938,프라이드치킨,1
936,해먹,8
940,향신료,6
950,현악기,10
964,거즈,7
963,그라인더,1
980,된장찌개,5
974,라멘,7
958,러그,5
975,레인코트,9
982,마멀레이드,8
961,마트료시카,9
972,비비,9
962,사케,9
967,선바이저,9
959,스케이트,5
965,어버이날,9
983,열쇠고리,4
984,우쿨렐레,6
981,유장,1
957,전자계산기,9
966,즉석식품,7
970,지르코늄,3
960,찰흙,9
971,컨버터,1
969,크래커,7
976,크로켓,9
968,토마토소스,5
973,트라이앵글,1
979,트렌치코트,7
977,폭죽,1
978,합성수지,5
1007,게르마늄,2
1010,계기반,4
985,내의,6
1008,다우니,4
1011,단고,4
987,떡갈비,6
997,맥주잔,2
1006,머핀,8
1002,비스킷,8
993,사찰음식,8
996,사향,4
1005,쇼핑백,4
988,수은등,6
989,시디,2
990,식용유,6
1003,악세서리,8
1009,오리고기,6
994,완자,4
998,주사위,8
995,지우개,4
1004,청진기,4
999,카디건,6
992,탑스,8
1000,프라이머,5
986,피임약,2
991,해물탕,8
1001,호른,4
1034,나초,3
1029,난로,1
1040,누룩,3
1027,누에고치,7
1036,다식,3
1019,렌치,7
1028,미트볼,5
1022,백열전구,3
1017,사이드카,7
1018,생화,7
1012,섀도우,5
1016,성냥,3
1035,수세미,5
1039,스토브,1
1024,쌈장,3
1026,양동이,1
1043,옥사,1
1020,우지,3
1013,유과,3
1014,일품요리,1
1033,제초제,5
1038,찹쌀떡,7
1041,치즈케이크,7
1030,카약,3
1037,크림소스,7
1021,턴테이블,7
1025,통돼지,7
1015,통살,5
1031,판넬,7
1032,펠리스,6
1023,허브티,7
1042,화장대,7
1053,가래떡,6
1066,고도계,5
1056,관악기,6
1090,광천수,4
1078,규석,4
1058,네비,6
1059,닭꼬치,4
1055,돌베개,2
1088,레포트,4
1051,리머,2
1069,메인보드,6
1081,미들웨어,6
1071,부적,2
1084,부침개,1
1065,비행선,4
1092,선루프,2
1060,세이버,6
1044,소금구이,6
1073,숄더백,6
1050,스톨,6
1079,아구찜,4
1085,아이스박스,6
1070,아이스티,4
1046,약과,2
1061,양갱,4
1075,양념치킨,4
1083,언더웨어,4
1068,온수기,4
1080,외장형,6
1045,인터폰,2
1091,잔치국수,4
1067,주철,2
1074,증폭기,1
1054,지구본,6
1076,추어탕,2
1063,카라멜,4
1048,캔커피,6
1064,코스터,6
1077,큐빅,3
1072,탁구공,6
1062,통깨,6
1093,팬시,5
1086,페이스트리,4
1049,편육,2
1047,폴라로이드,5
1087,푸딩,2
